Layer,file_count,typed_count,untyped_count,typed/file,rate_sum,avg_notanytyperate
L0,3,3,0,100.00%,2.9545454545454546,0.9848484848484849
L1,3,3,0,100.00%,3.0,1.0
L2,1,1,0,100.00%,1.0,1.0
L3,4,4,0,100.00%,3.986206896551724,0.996551724137931
L4,16,15,1,93.75%,14.944465726902473,0.9962977151268315
L5,2,2,0,100.00%,1.9905660377358492,0.9952830188679246
L6,70,70,0,100.00%,69.76699661526648,0.9966713802180925
Isolated,61,46,15,75.41%,45.2375,0.9834239130434782
