measurement,degree_precision,degree_recall
Top 10%,100.00%,11.11%
Top 20%,100.00%,22.22%
Top 30%,100.00%,33.33%
Top 40%,100.00%,44.44%
Top 50%,98.75%,54.86%
Top 60%,98.96%,65.97%
Top 70%,96.43%,75.00%
Top 80%,94.53%,84.03%
Top 90%,92.36%,92.36%
Top 100%,90.00%,100.00%
