Layer,file_count,typed_count,untyped_count,typed/file,rate_sum,avg_notanytyperate
L0,52,46,6,88.46%,44.585683654643674,0.9692539924922537
L1,12,11,1,91.67%,10.982456140350877,0.9984051036682615
