Layer,file_count,typed_count,untyped_count,typed/file,rate_sum,avg_notanytyperate
L0,21,3,18,14.29%,3.0,1.0
L1,102,11,91,10.78%,9.349073889982394,0.8499158081802176
L2,2,0,2,0.00%,0,/
L3,186,6,180,3.23%,5.675,0.9458333333333333
Isolated,135,14,121,10.37%,13.947368421052632,0.9962406015037594
