measurement,degree_precision,degree_recall
Top 10%,22.73%,29.41%
Top 20%,13.64%,35.29%
Top 30%,10.61%,41.18%
Top 40%,8.52%,44.12%
Top 50%,7.73%,50.00%
Top 60%,6.44%,50.00%
Top 70%,6.49%,58.82%
Top 80%,6.53%,67.65%
Top 90%,6.82%,79.41%
Top 100%,7.62%,100.00%
