Layer,file_count,typed_count,untyped_count,typed/file,rate_sum,avg_notanytyperate
L0,87,51,36,58.62%,45.5216852870444,0.892582064451851
L1,6,5,1,83.33%,4.107070707070707,0.8214141414141414
