measurement,degree_precision,degree_recall
Top 10%,20.00%,69.23%
Top 20%,11.11%,76.92%
Top 30%,8.15%,84.62%
Top 40%,6.11%,84.62%
Top 50%,5.33%,92.31%
Top 60%,4.44%,92.31%
Top 70%,3.81%,92.31%
Top 80%,3.61%,100.00%
Top 90%,3.21%,100.00%
Top 100%,2.86%,100.00%
