Layer,file_count,typed_count,untyped_count,typed/file,rate_sum,avg_notanytyperate
L0,431,12,419,2.78%,12.0,1.0
L1,22,1,21,4.55%,1.0,1.0
Isolated,2,0,2,0.00%,0,/
