Layer,file_count,typed_count,untyped_count,typed/file,rate_sum,avg_notanytyperate
L0,88,56,32,63.64%,54.08234731799733,0.9657562021070952
L1,9,3,6,33.33%,2.490960451977401,0.8303201506591337
L2,4,4,0,100.00%,4.0,1.0
L3,6,5,1,83.33%,5.0,1.0
L4,2,2,0,100.00%,2.0,1.0
L5,2,1,1,50.00%,1.0,1.0
L6,74,7,67,9.46%,7.0,1.0
Isolated,1,1,0,100.00%,1.0,1.0
