measurement,degree_precision,degree_recall
Top 10%,61.11%,13.92%
Top 20%,63.89%,29.11%
Top 30%,66.67%,45.57%
Top 40%,56.94%,51.90%
Top 50%,53.33%,60.76%
Top 60%,48.15%,65.82%
Top 70%,48.41%,77.22%
Top 80%,46.53%,84.81%
Top 90%,44.44%,91.14%
Top 100%,42.47%,100.00%
