Layer,file_count,typed_count,untyped_count,typed/file,rate_sum,avg_notanytyperate
L0,11,7,4,63.64%,6.109617400419286,0.8728024857741837
L1,8,6,2,75.00%,5.752297702297703,0.9587162837162838
Control,1,1,0,100.00%,0.9631901840490796,0.9631901840490796
Isolated,1,0,1,0.00%,0,/
