measurement,degree_precision,degree_recall
Top 10%,100.00%,12.28%
Top 20%,92.86%,22.81%
Top 30%,95.24%,35.09%
Top 40%,96.43%,47.37%
Top 50%,97.14%,59.65%
Top 60%,92.86%,68.42%
Top 70%,93.88%,80.70%
Top 80%,94.64%,92.98%
Top 90%,88.89%,98.25%
Top 100%,79.17%,100.00%
