Layer,file_count,typed_count,untyped_count,typed/file,rate_sum,avg_notanytyperate
L0,321,266,55,82.87%,216.86549148311,0.8152838025680826
L1,69,46,23,66.67%,23.318975114470454,0.506934241618923
L2,8,4,4,50.00%,1.5748168498168496,0.3937042124542124
L3,36,28,8,77.78%,12.535978468068729,0.4477135167167403
L4,6,4,2,66.67%,3.697368421052632,0.924342105263158
L5,234,129,105,55.13%,97.08794630909355,0.7526197388301826
Isolated,168,1,167,0.60%,1.0,1.0
