measurement,degree_precision,degree_recall
Top 10%,75.00%,36.52%
Top 20%,55.36%,53.91%
Top 30%,46.13%,67.39%
Top 40%,38.17%,74.35%
Top 50%,34.46%,83.91%
Top 60%,31.25%,91.30%
Top 70%,27.30%,93.04%
Top 80%,24.55%,95.65%
Top 90%,22.12%,96.96%
Top 100%,20.37%,100.00%
