Layer,file_count,typed_count,untyped_count,typed/file,rate_sum,avg_notanytyperate
L0,247,178,69,72.06%,175.2227998416499,0.9843977519193815
L1,38,11,27,28.95%,10.5,0.9545454545454546
L2,8,2,6,25.00%,2.0,1.0
L3,767,38,729,4.95%,38.0,1.0
Isolated,69,1,68,1.45%,1.0,1.0
