Layer,file_count,typed_count,untyped_count,typed/file,rate_sum,avg_notanytyperate
L0,12,0,12,0.00%,0,/
L1,1,0,1,0.00%,0,/
L2,7,1,6,14.29%,1.0,1.0
L3,7,0,7,0.00%,0,/
L4,33,4,29,12.12%,4.0,1.0
L5,5,0,5,0.00%,0,/
L6,3,0,3,0.00%,0,/
L7,2,0,2,0.00%,0,/
L8,1,0,1,0.00%,0,/
L9,3,0,3,0.00%,0,/
L10,100,0,100,0.00%,0,/
Isolated,52,0,52,0.00%,0,/
