Layer,file_count,typed_count,untyped_count,typed/file,rate_sum,avg_notanytyperate
L0,3,1,2,33.33%,1.0,1.0
L1,44,34,10,77.27%,33.541666666666664,0.9865196078431372
L2,6,5,1,83.33%,5.0,1.0
L3,3,2,1,66.67%,2.0,1.0
L4,56,48,8,85.71%,47.80714285714286,0.9959821428571428
