measurement,degree_precision,degree_recall
Top 10%,45.45%,5.56%
Top 20%,72.73%,17.78%
Top 30%,78.79%,28.89%
Top 40%,81.82%,40.00%
Top 50%,85.45%,52.22%
Top 60%,87.88%,64.44%
Top 70%,87.01%,74.44%
Top 80%,85.23%,83.33%
Top 90%,83.84%,92.22%
Top 100%,80.36%,100.00%
