Layer,file_count,typed_count,untyped_count,typed/file,rate_sum,avg_notanytyperate
L0,1,1,0,100.00%,1.0,1.0
L1,31,23,8,74.19%,22.285714285714285,0.9689440993788819
L2,7,6,1,85.71%,5.714285714285714,0.9523809523809524
Isolated,2,0,2,0.00%,0,/
