Layer,file_count,typed_count,untyped_count,typed/file,rate_sum,avg_notanytyperate
L0,3,3,0,100.00%,2.5454545454545454,0.8484848484848485
L1,16,9,7,56.25%,8.004853024256008,0.8894281138062231
Control,2,1,1,50.00%,0.808695652173913,0.808695652173913
