Layer,file_count,typed_count,untyped_count,typed/file,rate_sum,avg_notanytyperate
L0,74,11,63,14.86%,10.86456771614193,0.987687974194721
L1,27,1,26,3.70%,1.0,1.0
L2,24,4,20,16.67%,3.75,0.9375
L3,156,9,147,5.77%,9.0,1.0
Isolated,24,0,24,0.00%,0,/
