measurement,degree_precision,degree_recall
Top 10%,13.33%,16.00%
Top 20%,18.33%,44.00%
Top 30%,18.89%,68.00%
Top 40%,15.00%,72.00%
Top 50%,12.67%,76.00%
Top 60%,11.67%,84.00%
Top 70%,11.43%,96.00%
Top 80%,10.00%,96.00%
Top 90%,9.26%,100.00%
Top 100%,8.20%,100.00%
